OBJECTID,Neighborhood Name,Neighborhood Type,Neighborhood Subtype,ACS Vintage,Total Population,White Alone Not Hispanic or Latino,Black or African American Alone Not Hispanic or Latino,American Indian and Alaska Native Alone Not Hispanic or Latino,Asian Alone Not Hispanic or Latino,Native Hawaiian and Other Pacific Islander Alone Not Hispanic or Latino,Some Other Race Alone Not Hispanic or Latino,Two or More Races Not Hispanic or Latino,Hispanic or Latino (of any race),White Alone Hispanic or Latino,Black or African American Alone Hispanic or Latino,American Indian and Alaska Native Alone Hispanic or Latino,Asian Alone Hispanic or Latino,Native Hawaiian and Other Pacific Islander Alone Hispanic or Latino,Some Other Race Alone Hispanic or Latino,Two or More Races Hispanic or Latino,Person of Color,White in combination with one or more other races,Black or African American in combination with one or more other races,American Indian and Alaska Native in combination with one or more other races,Asian in combination with one or more other races,Native Hawaiian and Other Pacific Islander in combination with one or more other races,Some Other Race in combination with one or more other races,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,Percent Persons of Color,NEIGH_NO,Neighborhood Type (outside comp plan areas id)
82,Green Lake,UCUV,Residential Urban Village,5Y23,3652,2441,0,0,381,0,46,324,460,60,0,0,0,0,218,182,1211,506,43,109,92,0,262,2501,0,0,381,0,264,506,33.2,207,UCUV
83,Northgate,UCUV,Urban Center,5Y23,9547,4801,1119,25,1819,0,25,765,993,250,35,0,0,0,371,337,4746,1082,254,27,550,73,337,5051,1154,25,1819,0,396,1102,49.7,301,UCUV
84,Fremont,UCUV,Hub Urban Village,5Y23,7321,5065,163,0,999,0,38,603,453,290,0,0,7,0,14,142,2256,718,60,68,401,30,235,5355,163,0,1006,0,52,745,30.8,302,UCUV
85,Ballard,UCUV,Hub Urban Village,5Y23,21365,14720,250,19,2825,73,121,1673,1684,494,0,14,25,0,272,879,6645,2526,452,207,654,0,1369,15214,250,33,2850,73,393,2552,31.1,303,UCUV
86,Mt Baker,UCUV,Hub Urban Village,5Y23,7978,2682,1662,0,2043,0,65,804,722,134,0,54,0,0,277,257,5296,669,384,413,539,43,293,2816,1662,54,2043,0,342,1061,66.4,305,UCUV
87,South Lake Union,UCUV,Urban Center,5Y23,11976,4394,465,174,5658,8,0,614,663,260,0,0,0,0,144,259,7582,867,71,208,356,27,261,4654,465,174,5658,8,144,873,63.3,312,UCUV
88,University District,UCUV,Urban Center,5Y23,29410,12633,1505,389,9567,107,110,2872,2227,936,0,71,41,23,573,583,16777,3117,685,332,2022,323,782,13569,1505,460,9608,130,683,3455,57,401,UCUV
89,Uptown,UCUV,Urban Center,5Y23,12825,6763,608,7,2983,32,221,979,1232,219,0,31,26,0,310,646,6062,1508,473,370,270,60,736,6982,608,38,3009,32,531,1625,47.3,412,UCUV
90,Downtown,UCUV,Urban Center,5Y23,42788,19132,2679,151,14771,44,414,2312,3285,936,0,18,152,0,654,1525,23656,3344,773,773,1066,202,2014,20068,2679,169,14923,44,1068,3837,55.3,413,UCUV
91,First Hill/Capitol Hill,UCUV,Urban Center,5Y23,49217,28455,2855,264,9378,237,275,3974,3779,963,34,177,132,0,880,1593,20762,4656,1255,829,2667,619,1672,29418,2889,441,9510,237,1155,5567,42.2,414,UCUV
92,Greater Duwamish,UCUV,Manufacturing Industrial,5Y23,497,345,13,2,58,0,0,53,26,12,0,0,0,0,6,8,152,61,6,0,12,0,43,357,13,2,58,0,6,61,30.6,502,UCUV
